Name,layer,closure,prod_val,shehias,species_c,species_s,seasons,gears,area,perimeter
mileyani,Spear_mileyani_G2 Spear_mileyani_G2.kmz,yes,2.000,"wambaa,makombeni
","octopus,squid
","dolphin,turtle,ray",all seasons,spear,531572.602050781250000,3704.339676724282072
mkanga,Spear_mkanga_G3 Spear_mkanga_G3.kmz,yes,2.000,"chonga,ngelema
","octopus,squid
","dolphin,ray",all season,spear,364515.990234375000000,2458.309477746146513
dongoni_trap,Trap_dongoni_G1 Trap_dongoni_G1.kmz,no,4.000,"wesha,ndagoni,kilindi
","parrot,groupper,snapper,rabitfish,craib
","dolphin,ray",south wind,fish_trap,272349.992675781250000,2173.173089699101638
kilulu,Trap_kilulu_G1 Trap_kilulu_G1.kmz,no,2.000,"wesha,ndagoni,kilindi
","parrot,groupper,snapper,rabitfish,craib
","dolphin,ray","south wind
",fish_trap,277415.475585937500000,2476.789257651389107
kitambuu,Trap_kitambuu_G1 Trap_kitambuu_G1.kmz,no,1.000,"wesha,ndagoni,kilindi
","grouper,parrotfish
","turtle,dolphin","nipetide
",fish_trap,590589.837890625000000,4176.274806921654999
kiwayowayo,Trap_kiwayowayo_G2 Trap_kiwayowayo_G2.kmz,no,2.000,"wambaa,mizingani
wambaa,mizingani
wambaa,mizingani
","grouper,craib
","dolphin,ray,turtle",all seasons,fish_trap,130300.442382812500000,1439.604794364371855
kobela,Trap_kobela_G2 Trap_kobela_G2.kmz,no,3.000,"wambaa,mizingani
","emperouse,snaper,goat fish,unicon fish
","dolphin,turtle",all seasons,fish_trap,13544753.312011718750000,19377.470116081898595
kipwachanga,"Trap_kipwachanga_G3 Trap_kipwachanga_G3.kmz,Spear_kipwachashi_G2 Spear_kipwachashi_G2.kmz,Mshipi_kipwachanga_G1 Mshipi_kipwachanga_G1.kmz","no,yes,no,no",2.000,"mgelema
,wambaa,makombeni
,ndagoni,wesha,kilindi,shungi,chanjaani,chonga
","emperor,parrotfish,kangaja
,octopus,squid
,anchovy,tille trevally,wahoo,songoro,goatfish,tuna like species,mwewe,mackerel
,emperor,common silver bidddy,ray,nguru,mwewe,goatfish,kangu,uzi,tembo,snapper
","turtle,dolphin,turtle,dolphin, ray,ray,turtle,dolphin",all season,"fish_trap,spear,mishipi",1836697.559082031017169,5274.348826641135929
kipwachashi,Trap_kipwachashi_G3 Trap_kipwachashi_G3.kmz,"no,no,no",2.666,"mgelema
,chanjaani,chonga
,chonga,ngelema
","emperor,parrotfish,grouper,eel
,emperor,common silver bidddy,ray,nguru,mwewe,goatfish,kangu,uzi,tembo,snapper
,eel,squid,octopus
","dolphin,dolphin,turtle,ray,dolphin,ray",all season,"fish_trap,mishipi,spear",1490041.631835937500000,5458.416720074009390
misali,Trap_misali_G2 Trap_misali_G2.kmz,"no,no,yes,no,no",3.000,"wambaa,mizingani
,chonga,ngelema
,wambaa,makombeni
,ndagoni 
,ndagoni,wesha,kilindi,shungi","emperouse,snaper,goat fish,unicon fish
,eel,squid,octopus
,tuna,tille trevally,kambisi,emperor,ngurwangurwa,anchovy
","dolphin,turtle,ray,dolphin,turtle,ray,ray,turtle,shark,dolphin",all seasons,"fish_trap,spear,mishipi",19561210.758300781250000,17420.987200118011970
mapanya,Mshipi_mapanya_G1 Mshipi_mapanya_G1.kmz,"no,no,yes",2.666,"ndagoni,wesha,kilindi,shungi,wesha,ndagoni,kilindi
,ndagoni","""seerfish,tille trevally,anchovy,mackerel,mishe,tuna,emperor,Mackerel, tuna
""
,rabit fish,unicon fish,goatfish,emperouse,morail
,octopus,squid
","turtle,dolphin,turtle,dolphin,dolphin,turtle,ray",all season,"mishipi,fish_trap,spear",6089060.608398437500000,10141.624869180586757
kombawe,Spear_kombawe_G3 Spear_kombawe_G3.kmz,"no,no",2.000,"chonga,ngelema
,wambaa,mizingani
","octopus,squid
,parrot,snapper,emperaus
","dolphin, ray,dolphin,ray,turtle,ray",all seasons,"spear,fish_trap",1200322.512207031250000,4502.608412408603726
vuranguo,Spear_vuranguo_G2 Spear_vuranguo_G2.kmz,"yes,no",2.333,"wambaa,makombeni
,chonga,ngelema
,wambaa,mizingani
","octopus,squid
,emperor,nyamvi
","dolphin,ray,ray,turtle",all seasons,"spear,jarife_ndogo",849901.675292968750000,3834.656646551963604
kungu_kinduni,Mshipi_kipwakungu_G1 Mshipi_kungu_G1.kmz,no,2.500,"ndagoni,wesha,kilindi,shungi,chanjaani,chonga
","anchovy,sobari,sardinella,mishe,seerfish,tille trevally,mwewe
,emperor,common silver biddy,ray,nguru,mwewe,goatfish,kangu,uzi,tembo
","turtle,dolphin,turtle,ray",all seasons,mishipi,795060.511230468633585,3603.359129837867386
mtipe,Trap_mitipe_G2 Trap_mitipe_G2.kmz,"no,no,yes,no",2.500,"wambaa,mizingani
,wambaa,mizingani
,wambaa,makombeni
,makombeni,mbuguani,mzingani
","goatfish,grouper,rabbitfish,unicon fish,emperouse
,goatfish,grouper,rabbitfish,unicon fish,emperouse
,octopus,squid,common silver biddy,rabbitfish,emperor,vipimbo,miyewe,small pelagic,tuna,kingfish
","dolphin,ray,turtle,ray,turtle,dolphin,turtle,ray,dolphin,turtle,dolphin,ray",all seasons,"fish_trap,jarife_ndogo,spear,mishipi",14002396.197265625000000,14221.780014603393283
utalimani_kashani,Mshipi_utalimani_G1 Mshipi_utalimani_G1.kmz,"no,yes,no",2.333,"ndagoni,wesha,kilindi,shungi,ndagoni,wesha,ndagoni,kilindi
","emperor,parrotfish,tille trevally,kambisi,kungu
,octopus,squid
,rabit fish,unicon fish,goatfish,emperouse,morail
","turtle,dolphin,dolphin,ray,turtle,dolphin,turtle",all season,"mishipi,spear,fish_trap",37223189.923339843750000,27724.858921968672803
kingoji_komba_wajuu,Trap_kingoji_komba_G2 Trap_kingoji_komba_G2.kmz,"no,no,no,no,yes",2.625,"wambaa,mizingani
,chonga,ngelema
,wambaa,mizingani
,chanjaani,chonga
,wambaa,makombeni
","emperor,rabbitfish,pusu,parrotfish
,eel,squid,octopus
,emperor,rabbitfish,pusu,parrotfish
,emperor,common silver bidddy,ray,nguru,mwewe,goatfish,kangu,uzi,tembo,snapper
,octopus,squid","dolphin,turtle,dolphin,ray,turtle,turtle,ray,dolphin,dolphin,turtle,ray,turtle,ray,dolphin",all seasons,"fish_trap,spear,jarife_ndogo,mishipi,spear",17664233.039550781250000,17197.229829009942478
banaani,Jarife ndogo_banaani_G1 Jarife ndogo_banaani_G1.kmz,"no,no",3.000,"ndagoni,kilindi,shungi
,wesha,ndagoni,kilindi
","common silver biddy,tai,kungu,chelema
,parrot,groupper,snapper,rabitfish,craib
","ray,dolphin,dolphin,ray","south wind
,south wind
","jarife_ndogo,fish_trap",256846.579589843750000,2766.323485885720402
kajache_ngui_dongoni,Spear_kajache_G1 Spear_kajache_G1.kmz,"no,no,no,no,no,no",2.666,"ndagoni,mgelema
,ndagoni,wesha,kilindi,shungi,ndagoni,wesha,kilindi,shungi,chanjaani,chonga
,wesha,ndagoni,kilindi
","octopus,squid
,parrotfish,rabbitfish,emperor
,emperor,mwewe,tille trevally,kambisi,mishe,micheche,kure,sororo,puju,octopus,emperor,rabbitfish,mzira,eel,common silver biddy,chelema,kambisi,grouper,parrotfish,mwewe,kure,emperor,mwewe,tille trevally,kambisi","dolphin,turtle,ray,dolphin, turtle,ray,turtle,dolphin,ray,turtle,dolphin,dolphin,turtle,ray,dolphin,ray turtle",all seasons,"spear,fish_trap,mishipi,mishipi,mishipi,fish_trap",28730539.472656250000000,30087.012409043203661
